id;name;disambiguatingDescription;description;longitude;latitude;streetAddress;postalCode;addressLocality;telephone;email;url;image;dateModified209ab851-4883-4174-95d1-e4c93dcf82e3;Churfirstensaal;[{'@type': 'ImageObject', 'contentUrl': 'https://tgtpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/f/d/7/4fd7eaf5fdfeff70d037fe1e9771877ee9ea1f2e_Unterwasser_Hotel_Sternen_Seminar_web__2.jpg'}];2025-05-17T09:11:00+02:00
3601411b-91ea-435a-b762-0da5ff180acf;Munot Saal;2025-05-17T08:44:20+02:00
447ec572-5161-4857-b968-206be8e45859;Lütispitzsaal;[{'@type': 'ImageObject', 'contentUrl': 'https://tgtpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/8/1/d/481d024e95203b8bb4409c3c4b7181921a5d3dd4_Unterwasser_Hotel_Sternen_Bankett_web__4.jpg'}];2025-05-17T08:27:21+02:00
566a9036-6e06-44d4-b243-91a8760a3495;Restaurant Kronenhof;2025-05-17T07:43:52+02:00
578bea0d-e39d-4cff-85da-0f2e900fb68a;Test Tagungsraum von 08.08.22;[{'@type': 'ImageObject', 'contentUrl': 'https://tgtpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/4/6/5/5/4655f98e23da7cd63974b6174dbe456ee9d485fb_testbild__2.jpeg'}];2025-05-17T07:46:23+02:00
65144a9e-116c-43ac-8cf4-c963fc07d2d7;Test Tagungsraum von 08.08.22;[{'@type': 'ImageObject', 'contentUrl': 'https://tgtpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/b/2/e/d/b2ed5861470ebe0bf2d2fbc4e885592cd2ac9ee5_testbild__3.jpeg'}];2025-05-17T07:24:42+02:00
9ac2c11e-14e1-46ee-8168-fbde7d3537e3;Grosser Saal ;2025-05-17T05:55:31+02:00
9e9a009d-79cf-46ab-98e9-c44deb29c38e;Schweizerische Schifffahrtsgesellschaft Untersee und Rhein URh, Schaffhausen;2025-05-17T05:45:51+02:00
a45933fc-058a-4d89-b97d-8834687c4bae;Blitterswiler;2025-05-17T05:45:38+02:00
b2e3646f-d200-4eec-82ae-a24a26a4c7b0;AuPremier;2025-05-17T05:38:22+02:00
c3a12acb-e5ea-4f73-a7e1-95926bf93b32;Schlafstrandkorb Rosengarten am Untersee;Exklusive Übernachtung in wunderschöner Gartenanlage im einzigen Schlafstrandkorb am Bodensee. Fantastische Fernsicht auf den Untersee und die Höri, Sternefunkeln natürlich inbegriffen. Nicht einsehbare geschützte Lage.;Der Schlafplatz liegt in einem Privatgarten umgeben von Rosen und Reben  in erhöhter Lage ausserhalb von Mammern. Der Schlafstrandkorb steht auf einem nicht einsehbaren geschützten Platz. Er verfügt über eine warme, bequeme Liegefläche von 140 cm x 220 cm und lässt sich bei Bedarf variabel schliessen. Decken und Kissen sind selbstverständlich inbegriffen. Die Abdeckung ist regendicht. Alternative bei plötzlichem heftigem Wetterumschlag ist das Gästezimmer im Haus. Ein kleiner privater Sitzbereich steht jederzeit zur Verfügung. Direkt neben dem Strandkorb befindet sich eine Warmwasser-Outdoordusche sowie eine Toilette mit Wasserspülung. Ein reichhaltiges Frühstück ist inbegriffen. Das Abendessen ist individuell zubuchbar. Auf Wunsch ist ein kurzer geführter Rundgang durch die Rosen- und den Gemüsegärten möglich. Ansonsten Seele baumeln lassen und die gesamte Gartenanlage geniessen. Von Mai bis September buchbar.;8.9294063;47.6474166;Seefried 2;8265;Mammern;+41 523663922;kirsten.kohler@bluewin.ch;https://www.bb-rosengarten-am-untersee.ch;[{'@type': 'ImageObject', 'contentUrl': 'https://tgtpimtsoch.sos-ch-dk-2.exoscale-cdn.com/catalog/8/a/9/5/8a9554729543a88a6c948047b12d5bbd2ba1ebe3_medium__Mammern_Schlafstrandkorb_Himmelbett_5.jpg'}];2026-03-17T09:24:35+01:00
